"Customer Name","Consignment Reference","Delivery Address","Delivery Run Date","Date Delivered","Delivery Run",Quantity,Pallets,Spaces,"Cubic (m³)","Weight (kg)","Consignment Required Delivery Date"
"Sunshine Coast Organic Meats","FLBENOWA CHILLED - 150525","Flannerys Benowa, , 138-162 Slatyer Ave, BENOWA, , ",2025-05-16,"2025-05-16 09:12:08","GOLD COAST",2,0,0,0,20,
"Sunshine Coast Organic Meats","FLBENOWA FROZEN - 080525","Flannerys Benowa, , 138-162 Slatyer Ave, BENOWA, , ",2025-05-14,"2025-05-14 15:55:41","GOLD COAST",1,0,0,0,14,
"Sunshine Coast Organic Meats","FLCHERM CHILLED - 150525","Flannerys Chermiside, , 628 Rode Rd, CHERMSIDE, , ",2025-05-16,"2025-05-16 11:57:42","METRO 1",1,0,0,0,10,
"Sunshine Coast Organic Meats","FLCHERM FROZEN - 150525","Flannerys Chermiside, , 628 Rode Rd, CHERMSIDE, , ",2025-05-16,"2025-05-16 11:11:40","METRO 1",2,0,0,0,20,
"Sunshine Coast Organic Meats","FLMIAMI CHILLED - 080525","Flannerys Miami, , 44 Pacific Avenue, MIAMI, , ",2025-05-14,"2025-05-14 13:35:40","GOLD COAST",2,0,0,0,10,
"Sunshine Coast Organic Meats","FLMIAMI FROZEN - 080525","Flannerys Miami, , 44 Pacific Avenue, MIAMI, , ",2025-05-14,"2025-05-14 13:35:50","GOLD COAST",1,0,0,0,14,
"Sunshine Coast Organic Meats","FLMONAVALE CHILLED  - 140525","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-14,"2025-05-15 06:55:14","Warehouse Inbound",1,0,0,0,28,
"Sunshine Coast Organic Meats","FLMONAVALE CHILLED  - 140525","Flannery's Mona Vale, , 12-14 Park Street, MONA VALE, , ",2025-05-14,"2025-05-15 10:15:39","QLD to NSW Shuttle",1,0,0,0,28,
"Sunshine Coast Organic Meats","FLMONAVALE FROZEN - 140525","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-14,"2025-05-15 06:55:14","Warehouse Inbound",2,0,0,0,70,
"Sunshine Coast Organic Meats","FLMONAVALE FROZEN - 140525","Flannery's Mona Vale, , 12-14 Park Street, MONA VALE, , ",2025-05-14,"2025-05-15 10:14:38","QLD to NSW Shuttle",2,0,0,0,70,
"Sunshine Coast Organic Meats","FLPADD FROZEN - 080525","Flannerys Paddington, , 219 Given Terrace, PADDINGTON, , ",2025-05-14,"2025-05-14 16:49:38","METRO 1",2,0,0,0,6,
"Sunshine Coast Organic Meats","FLROBINA CHILLED - 080525","Flannerys Robina, , 42 Scotsdale Drive, ROBINA, , ",2025-05-14,"2025-05-14 15:05:37","GOLD COAST",1,0,0,0,20,
"Sunshine Coast Organic Meats","FLROBINA FROZEN - 080525","Flannerys Robina, , 42 Scotsdale Drive, ROBINA, , ",2025-05-14,"2025-05-14 15:05:42","GOLD COAST",1,0,0,0,14,
"Sunshine Coast Organic Meats",G-145127,"Gold Coast Organic Meats, , 64 Karbunya St, MERMAID WATERS, , ",2025-05-09,"2025-05-12 12:58:06","GOLD COAST",3,0,0,0,21,
"Sunshine Coast Organic Meats",G-145438,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-15,"2025-05-15 15:25:39","SUNSHINE COAST",5,0,0,0,50,
"Sunshine Coast Organic Meats",G-145591,"Flannerys Miami, , 44 Pacific Avenue, MIAMI, , ",2025-05-14,"2025-05-14 13:35:50","GOLD COAST",3,0,0,0,24,
"Sunshine Coast Organic Meats",G-145592,"Flannerys Robina, , 42 Scotsdale Drive, ROBINA, , ",2025-05-14,"2025-05-14 15:05:42","GOLD COAST",2,0,0,0,34,
"Sunshine Coast Organic Meats",G-145593,"Flannery's Mona Vale, , 12-14 Park Street, MONA VALE, , ",2025-05-14,"2025-05-15 10:15:39","QLD to NSW Shuttle",3,0,0,0,98,
"Sunshine Coast Organic Meats",G-145594,"Flannerys Chermiside, , 628 Rode Rd, CHERMSIDE, , ",2025-05-16,"2025-05-16 11:57:42","METRO 1",3,0,0,0,30,
"Sunshine Coast Organic Meats",G-145595,"Fundies Lismore, , 140 Keen Street, LISMORE, , ",2025-05-16,"2025-05-16 13:28:21",LISMORE,2,0,0,0,10,2025-05-17
"Sunshine Coast Organic Meats",G-145596,"Gold Coast Organic Meats, , 64 Karbunya St, MERMAID WATERS, , ",2025-05-16,"2025-05-16 11:15:43","GOLD COAST",2,0,0,0,20,2025-05-17
"Sunshine Coast Organic Meats","GCOM CHILLED - 010525","Gold Coast Organic Meats, , 64 Karbunya St, MERMAID WATERS, , ",2025-05-09,"2025-05-12 12:58:06","GOLD COAST",2,0,0,0,14,
"Sunshine Coast Organic Meats","GCOM CHL 160525","Gold Coast Organic Meats, , 64 Karbunya St, MERMAID WATERS, , ",2025-05-16,"2025-05-16 11:15:43","GOLD COAST",1,0,0,0,10,2025-05-17
"Sunshine Coast Organic Meats","GCOM FROZEN - 010525","Gold Coast Organic Meats, , 64 Karbunya St, MERMAID WATERS, , ",2025-05-09,"2025-05-12 12:58:06","GOLD COAST",1,0,0,0,7,
"Sunshine Coast Organic Meats","GCOM FRZ 160525","Gold Coast Organic Meats, , 64 Karbunya St, MERMAID WATERS, , ",2025-05-16,"2025-05-16 11:15:37","GOLD COAST",1,0,0,0,10,2025-05-17
"The Butcher's Dog",GCPC86140,"Gold Coast Pet Centre, , Unit 4/110 Korkum Dive, BURLEIGH HEADS, , ",2025-05-16,"2025-05-22 13:27:23","GOLD COAST",4,0,0,0.192,50,2025-05-18
"CHILL QLD","Godden Collection 130525","Chill Qld, , 24 Octal Street, YATALA, , ",2025-05-13,"2025-05-13 13:39:38","GOLD COAST",0,3,0,5.293,1200,
"Butter Boy","Good Things Grocer 14.05","Good Things Grocer, , 304 Toohey Rd, TARRAGINDI, , ",2025-05-16,"2025-05-16 11:05:38","METRO 1",2,0,0,0.054,8,
"Sunshine Coast Organic Meats","GROUND FROZEN - 080525","Ground Grocer, , 2 Village Way, CURRUMBIN VALLEY, , ",2025-05-16,"2025-05-16 11:11:44","GOLD COAST",1,0,0,0,14,
"Sunshine Coast Organic Meats","HAW CHL 160525","Hawthorne Garage, , 285 Hawthorne Road, HAWTHORNE, , ",2025-05-16,"2025-05-16 11:57:38","METRO 1",3,0,0,0,15,2025-05-17
"Sunshine Coast Organic Meats","HAWTHORNE CHILLED - 010525","Hathorne Garage, , 285 Hathorne Rd, HAWTHORNE, , ",2025-05-08,"2025-05-12 12:58:46","METRO 1",3,0,0,0,21,
"Sunshine Coast Organic Meats","HAWTHORNE CHILLED - 080525","Hathorne Garage, , 285 Hathorne Rd, HAWTHORNE, , ",2025-05-14,"2025-05-14 15:59:40","METRO 1",2,0,0,0,21,
"Butter Boy","Hey Mr 13.05","Hey Mr, , 1/76 Moray St, NEW FARM, , ",2025-05-14,"2025-05-14 08:27:45","METRO 1",1,0,0,0.027,4,2025-05-14
"Butter Boy","Hudson and Rosie's Table 13.05","Hudson And Rosie's Table, , 16/106 Alexander Drive, HIGHLAND PARK, , ",2025-05-14,"2025-05-14 10:31:41","GOLD COAST",2,0,0,0.054,8,2025-05-14
"United Food Group",INV-0000015267,"Waynes World, , 8/1440 New Cleveland Road, CHANDLER, , ",2025-05-12,"2025-05-12 12:21:45",BAYSIDE,0,2,0,3.529,1400,2025-05-10
"Maleny Food Co",INV-00018981-FROZEN,"Armidale Ex Services Club, , 137 Dumaresq Street, ARMIDALE, , ",2025-05-12,"2025-05-14 06:03:13","NORTHERN NSW",7,1,0,1.764,273,2025-05-09
"Maleny Food Co",INV-00019030,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-12,"2025-05-13 07:16:36","SUNSHINE COAST",7,0,0,0.165,108,2025-05-13
"Maleny Food Co",INV-00019030,"Sundaes At The Pier, , Shop 3, 577 The Esplanade, URANGAN, , ",2025-05-13,"2025-05-13 10:39:39","HERVEY BAY",7,0,0,0.165,108,2025-05-13
"Maleny Food Co",INV-00019031,"Farm Shed Fruit Stall, , 27875 Bruce Highway, ISIS RIVER, , ",2025-05-13,"2025-05-13 09:40:09","HERVEY BAY",3,0,0,0.165,108,2025-05-13
"Maleny Food Co",INV-00019031,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-12,"2025-05-13 07:16:36","SUNSHINE COAST",3,0,0,0.165,108,2025-05-13
"Maleny Food Co",INV-00019060,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-15,"2025-05-16 06:27:21","Warehouse Inbound",0,1,0,1.764,400,2025-05-16
"Merrylands Produce",INV-2041882,"Petbarn Mermaid Waters, , D11-q Suprcntr,cnr Market & Bermuda St, MERMAID WATERS, , ",2025-05-12,"2025-05-12 14:47:46","GOLD COAST",1,0,0,0.017,7,
"Merrylands Produce",INV-2041884,"Petbarn Upper Coomera, , Shop 9, 1-13 Coomera Grand Drive, UPPER COOMERA, , ",2025-05-12,"2025-05-12 08:17:47","GOLD COAST",1,0,0,0.017,7,
"Merrylands Produce",INV-2041885,"Petbarn Morayfield Supercentre, , Shop 19, 312-344 Morayfield Road, MORAYFIELD, Morayfield, ",2025-05-12,"2025-05-12 12:35:57","METRO 2",2,0,0,0.034,14,
"Merrylands Produce",INV-2041886,"Petbarn Logan, , Shop 5 J&k Hyperdome Home Cntr, LOGANHOLME, , ",2025-05-12,"2025-05-12 13:47:40","METRO 2",1,0,0,0.017,7,
"Merrylands Produce",INV-2041887,"Petbarn Pimpama, , Cnr Pacific Hwy & Yawalpah Rd, PIMPAMA, , 473",2025-05-14,"2025-05-14 09:25:47","GOLD COAST",1,0,0,0.017,7,
"Merrylands Produce",INV-2041888,"Petbarn Smithfield, , Shopping Cntr, Cnr Captain Cook And Kennedy Hwys, SMITHFIELD, , ",2025-05-15,"2025-05-19 11:14:32",CAIRNS,1,0,0,0.017,7,
"Merrylands Produce",INV-2041901,"Petbarn Cairns, , 270 Mulgrave Rd, WESTCOURT, , ",2025-05-15,"2025-05-19 11:14:32",CAIRNS,1,0,0,0.017,7,
"Merrylands Produce",INV-2041902,"Petbarn Springfield, , 1 Main Street - Orion Central, SPRINGFIELD, , ",2025-05-12,"2025-05-13 07:18:06","METRO 2",2,0,0,0.034,14,
"Merrylands Produce",INV-2041903,"Petbarn Gladstone, , W7/216-226 Phillip St, GLADSTONE, , ",2025-05-12,"2025-05-12 12:19:43",GLADSTONE,1,0,0,0.017,7,
"Merrylands Produce",INV-2041904,"Petbarn North Lakes, , 55 Flinders Parade, NORTH LAKES, , ",2025-05-12,"2025-05-12 13:27:40","METRO 2",1,0,0,0.034,14,
"Merrylands Produce",INV-2041905,"Petbarn Oxenford, , 3/4 Global Plaza, OXENFORD, , ",2025-05-12,"2025-05-12 16:45:42","GOLD COAST",1,0,0,0.017,7,
"Merrylands Produce",INV-2041906,"Petbarn Kawana, , 1 Nicklin Way, MINYAMA, , ",2025-05-12,"2025-05-12 09:47:45","SUNSHINE COAST",1,0,0,0.017,7,
"Merrylands Produce",INV-2041907,"Petbarn Browns Plains, , 48 Browns Plains Rd, BROWNS PLAINS, , ",2025-05-12,"2025-05-13 07:18:45","METRO 2",1,0,0,0.017,7,
"Merrylands Produce",INV-2041908,"Petbarn Mt Gravatt, , 1290 Logan Rd, MT GRAVATT, , ",2025-05-12,"2025-05-12 16:47:42","METRO 1",1,0,0,0.017,7,
"Merrylands Produce",INV-2041909,"Petbarn Underwood (cf), , 2946 Logan Rd, UNDERWOOD, , ",2025-05-14,"2025-05-14 09:25:53","METRO 1",1,0,0,0.017,7,
"Merrylands Produce",INV-2041910,"Petbarn Morayfield North, , 113-137 Morayfield Rd, MORAYFIELD, , ",2025-05-12,"2025-05-12 12:21:39","METRO 2",2,0,0,0.034,14,
"Merrylands Produce",INV-2041912,"Petbarn Maroochydore, , 68 Wises Rd, MAROOCHYDORE, , ",2025-05-12,"2025-05-12 09:27:46","SUNSHINE COAST",1,0,0,0.017,7,
"Merrylands Produce",INV-2041913,"Petbarn Victoria Point, , 349-369 Colburn Ave, VICTORIA POINT, , ",2025-05-12,"2025-05-12 13:05:44",BAYSIDE,1,0,0,0.034,14,
"Merrylands Produce",INV-2041914,"Petbarn Tweed Heads, , 29-41 Greenway Dr, TWEED HEADS, , ",2025-05-16,"2025-05-16 15:07:40","NORTHERN RIVERS",1,0,0,0.017,7,
"Merrylands Produce",INV-2041915,"Petbarn Hervey Bay, , Stockland Hb, 6 Central Av, URRAWEEN, , ",2025-05-13,"2025-05-13 11:11:37","HERVEY BAY",1,0,0,0.017,7,
"Merrylands Produce",INV-2041916,"Petbarn Bundaberg, , T5, 21 Johanna Bvd, KENSINGTON, , ",2025-05-12,"2025-05-12 09:36:17",BUNDABERG,1,0,0,0.017,7,
"Merrylands Produce",INV-2041919,"Petbarn Bald Hills, , 1915 Gympie Rd, BALD HILLS, , ",2025-05-12,"2025-05-12 16:51:57","METRO 2",1,0,0,0.017,7,
"Merrylands Produce",INV-2041920,"Petbarn Kenmore, , 13 Marshall Lane, KENMORE, , ",2025-05-14,"2025-05-14 11:03:38","METRO 1",1,0,0,0.017,7,
"Merrylands Produce",INV-2041921,"Petbarn Virginia, , 4/1814 Sandgate Rd, VIRGINIA, , ",2025-05-12,"2025-05-12 16:50:46","METRO 1",1,0,0,0.017,7,
"Merrylands Produce",INV-2041922,"Petbarn Cannon Hill, , 1881 Creek Rd, CANNON HILL, , ",2025-05-12,"2025-05-12 16:49:15","METRO 1",1,0,0,0.017,7,
"Merrylands Produce",INV-2041923,"Petbarn Rothwell, , Unit 3/439-443 Anzac Ave, ROTHWELL, , ",2025-05-12,"2025-05-12 13:47:51","METRO 2",2,0,0,0.034,14,
"Merrylands Produce",INV-2041924,"Petbarn Lismore, , Shop Bg3, Lismore Sq, LISMORE, , ",2025-05-16,"2025-05-16 13:28:28",LISMORE,1,0,0,0.017,7,
"Merrylands Produce",INV-2041925,"Petbarn Ipswich, , Riverlink Sc Cnr Pine & Terrace, IPSWICH, , ",2025-05-14,"2025-05-14 15:01:45","METRO 2",1,0,0,0.017,7,
"Merrylands Produce",INV-2041926,"Petbarn Caloundra, , 2 Sydal St, CALOUNDRA, , ",2025-05-13,"2025-05-13 10:41:49","SUNSHINE COAST",1,0,0,0.017,7,
"Merrylands Produce",INV-2041927,"Petbarn Booval, , Shop C, Booval Fair Shop Centre, BOOVAL, , ",2025-05-14,"2025-05-14 15:03:58","METRO 2",1,0,0,0.017,7,
"Merrylands Produce",INV-2041940,"Petbarn Lawnton, Store Manager, 640 Gympie Road,, LAWNTON, LAWNTON, ",2025-05-15,"2025-05-15 12:07:43","METRO 1",1,0,0,0.017,7,
"Merrylands Produce",INV-2042182,"Petbarn Woolloongabba, , 114 Logan Rd, WOOLLOONGABBA, , ",2025-05-16,"2025-05-16 16:05:36","METRO 1",1,0,0,0.017,7,
"Merrylands Produce",INV-2042183,"Petbarn Macgregor, , 1/544 Kessels Road, MACGREGOR, , ",2025-05-12,"2025-05-12 16:45:53","METRO 1",1,0,0,0.017,7,
"Merrylands Produce",INV-2042184,"Petbarn Mitchelton, Store Manager, 45 Osborne Road,, MITCHELTON, MITCHELTON, ",2025-05-15,"2025-05-15 13:37:41","METRO 1",1,0,0,0.017,7,
"Merrylands Produce",INV-2042185,"Petbarn Kedron, , 561 Gympie Rd, KEDRON, , ",2025-05-12,"2025-05-12 16:52:57","METRO 1",1,0,0,0.017,7,
"Merrylands Produce",INV-2042186,"Petbarn Windsor, , 410/142 Newmarket Rd, WINDSOR, , ",2025-05-13,"2025-05-13 14:11:51","METRO 1",1,0,0,0.017,7,
"Merrylands Produce",INV-2042187,"Petbarn Burleigh Heads, , 2/50 Kortum Dr, BURLEIGH HEADS, , ",2025-05-12,"2025-05-12 12:05:41","GOLD COAST",1,0,0,0.017,7,
"Merrylands Produce",INV-2042188,"Petbarn Toowoomba, , 2a-a 910-932 Ruthven St, TOOWOOMBA, , ",2025-05-12,"2025-05-12 12:26:47",TOOWOOMBA,1,0,0,0.017,7,
"Merrylands Produce","INV-2042188 T2","Petbarn Toowoomba, , 2a-a 910-932 Ruthven St, TOOWOOMBA, , ",2025-05-13,"2025-05-14 06:02:51",TOOWOOMBA,1,0,0,0.017,7,
"Merrylands Produce",INV-2042189,"Petbarn Wynnum, , 4/2021 Wynnum Rd, WYNNUM, , ",2025-05-13,"2025-05-13 12:59:43",BAYSIDE,1,0,0,0.017,7,
"Van Dyck Fine Foods","INV-23866/ 8504258586 T2","Aldi, , 55 Burnside Rd, STAPYLTON, , ",2025-05-15,"2025-05-15 07:09:41","METRO 2",0,1,0,1.08,205.2,2025-05-02
"Van Dyck Fine Foods","INV-23975/ P8337217.BRI","Bidfood Brisbane, , 59 Pegasus Drive, MORNINGSIDE, , Bidfood Brisbane",2025-05-15,"2025-05-15 12:49:44","METRO 1",0,1,0,1.35,297,2025-05-14
"Van Dyck Fine Foods","INV-23979/ 408190","Moco Food Services, , 60 Parade Ground Place, WACOL, , ",2025-05-12,"2025-05-12 13:45:24","METRO 1",0,1,0,1.765,118.8,2025-05-12
"Van Dyck Fine Foods","INV-23989/ Stephen Little Pick Up 13.05","Connectr Group, Attn: Stephen Little, 16 Kalamunda Close, ELANORA, , ",2025-05-14,"2025-05-15 06:56:24","Warehouse Outbound",1,0,0,0.01,2.2,2025-05-12
"Van Dyck Fine Foods","INV-24001/ P8340654","Bidfood - Botany, , 14 Mcpherson Street, BANKSMEADOW, , ",2025-05-14,"2025-05-16 10:34:39","QLD to NSW Shuttle",0,1,0,1.764,386.2,2025-05-16
"Merrylands Produce",INV-2835887,"Petstock Cairns, , 287 Mulgrave Road, BUNGALOW, , ",2025-05-12,"2025-05-14 06:03:13",CAIRNS,2,0,0,0.034,14,
"Aqua Blue Distribution",INV210865,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-12,"2025-05-12 14:33:37","METRO 2",0,1,0,1.271,200,2025-05-09
"Aqua Blue Distribution",INV210865,"Cairns Marine, , 14 Industrial Avenue, STRATFORD, , ",2025-05-13,"2025-05-15 11:14:00",CAIRNS,0,1,0,1.271,200,2025-05-09
"Aqua Blue Distribution",INV210907,"Roxy Aquarium, , 1b Fleet Street, SOMERTON, , ",2025-05-14,"2025-05-16 12:08:39","QLD to VIC Shuttle",9,0,0,0.288,45,
"Aqua Blue Distribution",INV210909,"Aquarium Cleaning, , 1 Overnewton Way, WOLLERT, , ",2025-05-14,"2025-05-16 12:56:14","QLD to VIC Shuttle",4,0,0,0.128,20,
"Aqua Blue Distribution",INV210916,"Lots Of Fins Aquarium, , 96 Victor Cres, NARRE WARREN, , ",2025-05-14,"2025-05-16 18:18:36","QLD to VIC Shuttle",2,0,0,0.064,10,
"Aqua Blue Distribution",INV210924,"Jurassic Jungle, , 743 Mountain Highway, BAYSWATER, , ",2025-05-14,"2025-05-16 14:24:37","QLD to VIC Shuttle",4,0,0,0.128,20,
"Aqua Blue Distribution",INV210939,"Kellyville Pets, , 106 Windsor Rd, KELLYVILLE, , ",2025-05-14,"2025-05-15 17:08:37","QLD to NSW Shuttle",6,0,0,0.192,30,
"Aqua Blue Distribution",INV210940,"Asylum Aquatics, , U2/1 Casuarina Street, OAK FLATS, , ",2025-05-14,"2025-05-16 15:07:46","QLD to NSW Shuttle",3,0,0,0.096,15,
"Aqua Blue Distribution",INV210953,"Fishtopia Aquarium, , Unit 1/ 18 Blaxland Road, CAMPBELLTOWN, , ",2025-05-14,"2025-05-15 11:34:42","QLD to NSW Shuttle",4,0,0,0.128,20,
"Aqua Blue Distribution",INV210985,"Fish World Aquarium, , 164 Cheltenham Road, DANDENONG, , ",2025-05-14,"2025-05-20 13:51:38","QLD to VIC Shuttle",11,0,0,0.352,55,
"Gourmet Meals",INV554247,"Meals On Wheels Wollonong, , 99 Swan Street, WOLLONGONG, , ",2025-05-02,"2025-05-12 08:25:15","QLD to NSW Shuttle",0,2,0,3.529,1400,2025-05-06
"Gourmet Meals",INV554683,"Meals On Wheels, , 1 Gribble Place, BLACKTOWN, , ",2025-05-09,"2025-05-14 13:42:38","QLD to NSW Shuttle",0,1,0,1.764,460,2025-05-14
"Gourmet Meals",INV554916,"Meals On Wheels Central Coast, , 6/10 Pioneer Avenue, TUGGERAH, , ",2025-05-09,"2025-05-14 12:26:38","QLD to NSW Shuttle",0,2,0,3.529,1300,2025-05-14
"Gourmet Meals",INV555352,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-14,"2025-05-15 06:56:24","GOLD COAST",0,1,0,1.764,700,2025-05-14
"Gourmet Meals",INV555352,"Meals On Wheels Central Coast, , 6/10 Pioneer Avenue, TUGGERAH, , ",2025-05-14,"2025-05-16 12:42:38","QLD to NSW Shuttle",0,1,0,1.764,700,2025-05-16
"Gourmet Meals",INV555354,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-16,"2025-05-16 12:52:45","GOLD COAST",0,1,0,1.764,700,2025-05-16
"Gourmet Meals",INV555354,"Meals On Wheels, , 1 Gribble Place, BLACKTOWN, , ",2025-05-16,"2025-05-21 13:24:39","QLD to NSW Shuttle",0,1,0,1.764,700,2025-05-21
"Gourmet Meals",INV555716,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-14,"2025-05-15 06:56:24","GOLD COAST",0,1,0,1.764,750,2025-05-14
"Gourmet Meals",INV555716,"Sutherland Food Services, , 430 Kingsway, CARINGBAH, , ",2025-05-14,"2025-05-16 12:48:47","QLD to NSW Shuttle",0,1,0,1.764,750,2025-05-16
"Gourmet Meals",INV556082,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-16,"2025-05-16 12:52:47","GOLD COAST",0,2,0,3.529,1400,2025-05-16
"Gourmet Meals",INV556082,"Meals On Wheels Central Coast, , 6/10 Pioneer Avenue, TUGGERAH, , ",2025-05-16,"2025-05-21 14:08:39","QLD to NSW Shuttle",0,2,0,3.529,1400,2025-05-21
Bowens,INV5584,"The Green Edge-cale, , 2b/229 Lutwyche Rd, WINDSOR, , ",2025-05-14,"2025-05-14 14:15:51","METRO 1",0,1,0,0.4,185,
"Koko Black",KKB112655,"Coles Adelaide St, , 79 Adelaide Street, BRISBANE CITY, , ",2025-05-07,"2025-05-12 12:38:18","METRO 1",1,0,0,0.024,3,
"Koko Black",KKB112714,"The Star Gold Coast, The Star Gold Coast, South Loading Dock, 14 Casino Drive, BROADBEACH, , ",2025-05-09,"2025-05-12 08:21:12","GOLD COAST",2,0,0,0.048,6,
"Koko Black","KKB112714 T2","The Star Gold Coast, The Star Gold Coast, South Loading Dock, 14 Casino Drive, BROADBEACH, , ",2025-05-14,"2025-05-14 12:15:46","GOLD COAST",2,0,0,0.048,6,
"Koko Black",KKB112736,"Firm-n-fresh, Eric, Shop 9/155 Nineteenth Avenue, ELANORA, , ",2025-05-09,"2025-05-16 09:28:25","GOLD COAST",4,0,0,0.096,16,2025-05-03
"Koko Black",KKB112829,"The Star Gold Coast, The Star Gold Coast, South Loading Dock, 14 Casino Drive, BROADBEACH, , ",2025-05-14,"2025-05-15 06:56:25","GOLD COAST",2,0,0,0.048,6,2025-05-10
"Koko Black",KKB112850,"Coles Local - Cs Ascot 4568, Coles Local - Cs Ascot 4568, Crn Beattrice Terrace & Racecourse Road, ASCOT, , ",2025-05-16,"2025-05-16 09:29:36","METRO 1",1,0,0,0.008,3,
"Koko Black",KKB112904,"Coles Local - Cs Taringa 4694, C/o Chill Qld, 24 Octal Street, YATALA, , ",2025-05-16,"2025-05-16 09:29:36","METRO 2",1,0,0,0.004,2,2025-05-15
"Koko Black",KKB112905,"Coles Local - Cs Adelaide Street 4334, C/o Chill Qld, 24 Octal Street, YATALA, , ",2025-05-16,"2025-05-16 09:29:36","METRO 2",1,0,0,0.001,4,2025-05-15
"Koko Black",KKB112906,"Coles Local Woolloongabba, , 795 Stanley Street, Woolloongabba, , ",2025-05-16,"2025-05-16 09:29:36","METRO 1",1,0,0,0.001,7,2025-05-15
"Koko Black",KKB112907,"Coles Local - Cs Coorparoo 4467, C/o Chill Qld, 24 Octal Street, YATALA, , ",2025-05-16,"2025-05-16 09:29:36","METRO 2",1,0,0,0.004,2,2025-05-15
"Sunshine Coast Organic Meats","LIS CHIL 160525","Fundies Lismore, , 140 Keen Street, LISMORE, , ",2025-05-16,"2025-05-16 13:28:21",LISMORE,1,0,0,0,5,2025-05-17
"Sunshine Coast Organic Meats","LIS FRZ 160525","Fundies Lismore, , 140 Keen Street, LISMORE, , ",2025-05-16,"2025-05-16 13:28:08",LISMORE,1,0,0,0,5,2025-05-17
"LP's Quality Meats","LP's to Stanley Restaurant 08.05","Stanley Restaurant - Louis Tikaram, , 5 Boundary Street, BRISBANE, , ",2025-05-14,"2025-05-14 13:33:40","METRO 1",1,0,0,0.019,8,
"Butter Boy","Mas Espresso 13.05","Mas Espresso, , 66 Eagle St, BRISBANE, , ",2025-05-14,"2025-05-14 08:27:39","METRO 1",2,0,0,0.054,8,2025-05-14
"Maleny Food Co","MF Stock Collection 09-05-2025","Chill Qld, Chill Qld, 24 Octal Street, YATALA, , ",2025-05-12,"2025-05-12 11:23:39","SUNSHINE COAST",0,1,0,1.764,300,
"Butter Boy","Morning After 14.05","Morning After, , 57 Vulture Street, WEST END, , ",2025-05-16,"2025-05-16 11:49:45","METRO 1",2,0,0,0.054,8,
"Butter Boy","No Name Lane Cafe & Bar 13.05","No Name Lane Cafe & Bar, , 17-19 Elizabeth Avenue, BROADBEACH, , ",2025-05-14,"2025-05-14 12:51:38","GOLD COAST",2,0,0,0.054,8,2025-05-14
"The Nosh Project",nosh-3530,"Katie Day, Katie Day, 25 Lichfield Place, PARKINSON, Parkinson, ",2025-05-12,"2025-05-13 07:19:29","METRO 2",1,0,0,0.021,6.115,2025-05-12
"The Nosh Project",nosh-3934,"Samara Dorz, Samara Dorz, 32 Winnam Street, STAFFORD, Stafford, ",2025-05-13,"2025-05-13 14:53:39","METRO 1",1,0,0,0.026,11.13,2025-05-12
"The Nosh Project",nosh-3940,"Kitrina Scott-davies, Kitrina Scott-davies, 5 Louise Street, KENMORE, Kenmore, ",2025-05-12,"2025-05-12 10:29:37","METRO 1",1,0,0,0.021,6.115,2025-05-12
"Sunshine Coast Organic Meats","NOURISH CHILLED - 010525","Nourish Lane, , 3 Swan Lane, MUDGEERABA, , ",2025-05-09,"2025-05-12 08:23:27","GOLD COAST",1,0,0,0,4,
"T&B Costech","OC-1325( Solskin)","Solskin Beauty Labs Pty Ltd, Solskin Beauty Labs Pty Ltd, 54 Lakewood Blvd, Carrum Downs, 3201, Vic, Australia, CARRUM DOWNS, Melb, SOLSKIN",2025-05-14,"2025-05-16 17:18:36","QLD to NSW Shuttle",0,1,0,1.764,160,2025-05-13
"Acai Flow",OMO11008,"Stoa Bokarina, Jasmin Smith, 42 Bokarina Boulevard, Shop 1, BOKARINA, , ",2025-05-13,"2025-05-13 11:49:41","SUNSHINE COAST",2,0,0,0,24,
"Acai Flow",OMO11009,"Decisions Cafe, , 10 Capital Place, 4, BIRTINYA, , ",2025-05-15,"2025-05-15 13:37:46","SUNSHINE COAST",2,0,0,0,24,2025-05-14
"Acai Flow",OMO11013,"Fresh Coffee Bar, Natalie Swan, 194 Varsity Parade, VARSITY LAKES, , ",2025-05-14,"2025-05-14 15:05:45","GOLD COAST",2,0,0,0,24,
"Acai Flow",OMO11018,"Urban Eatery & Cafe, , 90 Surf Parade, Shop 4, BROADBEACH, , ",2025-05-14,"2025-05-14 12:17:41","GOLD COAST",5,0,0,0,60,
"Acai Flow",OMO11036,"Old Maids, , 30 Tweed Street, BRUNSWICK HEADS, , ",2025-05-16,"2025-05-16 08:03:40","NORTHERN RIVERS",4,0,0,0,48,
